Oráculos,Tarot,Os70,40 servidores,Cigano,Cartas Sakura
Nº de cartas,78,70,40,36,52
Tamanho,281,169,281,281,374
Cigano,TRUE,TRUE,TRUE,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/001.png,TRUE
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1001.png,https://i.imgur.com/3y2FRDz.png,https://caotize.se/wp-content/uploads/2018/08/01-Arte-The-Adventurer-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/002.png,https://static.wikia.nocookie.net/ccs/images/9/97/SakuraFirey.jpg/revision/latest/scale-to-width-down/150?cb=20160527124050
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1017.png,https://i.imgur.com/gMOo8qe.png,https://caotize.se/wp-content/uploads/2018/08/01-Arte-The-Balancer-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/003.png,https://static.wikia.nocookie.net/ccs/images/4/4c/SakuraSong.jpg/revision/latest/scale-to-width-down/150?cb=20160527125949
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1049.png,https://i.imgur.com/JHipghS.png,https://caotize.se/wp-content/uploads/2018/08/01-Arte-The-Carnal-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/004.png,https://static.wikia.nocookie.net/ccs/images/a/ab/SakuraSword.jpg/revision/latest/scale-to-width-down/150?cb=20160527125304
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1065.png,https://i.imgur.com/YgFmjfJ.png,https://caotize.se/wp-content/uploads/the-chaste-a-casta-os-quarenta-servidores/04-Arte-The-Chaste-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/005.png,https://static.wikia.nocookie.net/ccs/images/5/58/SakuraJump.jpg/revision/latest/scale-to-width-down/150?cb=20160606171252
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1081.png,https://i.imgur.com/KTHjd4v.png,https://caotize.se/wp-content/uploads/2018/08/05-Arte-The-Conductor-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/006.png,https://static.wikia.nocookie.net/ccs/images/5/51/SakuraFly.jpg/revision/latest/scale-to-width-down/150?cb=20160527124738
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1097.png,https://i.imgur.com/FKfvsPr.png,https://caotize.se/wp-content/uploads/2018/08/06-Arte-The-Contemplator-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/007.png,https://static.wikia.nocookie.net/ccs/images/d/de/SakuraErase.jpg/revision/latest/scale-to-width-down/150?cb=20160527124517
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1113.png,https://i.imgur.com/jVhSIAy.png,https://caotize.se/wp-content/uploads/2018/08/07-Arte-The-Dancer-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/008.png,https://static.wikia.nocookie.net/ccs/images/6/65/SakuraPower.jpg/revision/latest/scale-to-width-down/150?cb=20160527125104
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1129.png,https://i.imgur.com/L6PAuQG.png,https://caotize.se/wp-content/uploads/2018/08/08-Arte-The-Dead-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/009.png,https://static.wikia.nocookie.net/ccs/images/6/68/SakuraSweet.jpg/revision/latest/scale-to-width-down/150?cb=20160527130334
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1145.png,https://i.imgur.com/qRBm9am.png,https://caotize.se/wp-content/uploads/2018/08/09-Arte-The-Depleted-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/010.png,https://static.wikia.nocookie.net/ccs/images/0/08/SakuraLock.jpg/revision/latest/scale-to-width-down/150?cb=20160606171602
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1161.png,https://i.imgur.com/JkeAbO7.png,https://caotize.se/wp-content/uploads/the-desperate-o-desesperado-os-quarenta-servidores/10-Arte-The-Desperate-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/011.png,https://static.wikia.nocookie.net/ccs/images/6/6f/SakuraLibra.jpg/revision/latest/scale-to-width-down/150?cb=20160527125927
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1177.png,https://i.imgur.com/LonnNKO.png,https://caotize.se/wp-content/uploads/the-devil-o-diabo-os-quarenta-servidores/11-Arte-The-Devil-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/012.png,https://static.wikia.nocookie.net/ccs/images/0/03/SakuraSand.jpg/revision/latest/scale-to-width-down/150?cb=20160527130704
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1209.png,https://i.imgur.com/ijptvXg.png,https://caotize.se/wp-content/uploads/the-explorer-o-explorador-os-quarenta-servidores/12-Arte-The-Explorer-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/013.png,https://static.wikia.nocookie.net/ccs/images/a/a1/SakuraVoice.jpg/revision/latest/scale-to-width-down/150?cb=20160527124913
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1225.png,https://i.imgur.com/cdBMtBg.png,https://caotize.se/wp-content/uploads/the-eye-o-olho-os-quarenta-servidores/13-Arte-The-Eye-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/014.png,https://static.wikia.nocookie.net/ccs/images/2/21/SakuraChange.jpg/revision/latest/scale-to-width-down/150?cb=20160527123515
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1241.png,https://i.imgur.com/HAroyw9.png,https://caotize.se/wp-content/uploads/the-father-o-pai-os-quarenta-servidores/14-Arte-The-Father-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/015.png,https://static.wikia.nocookie.net/ccs/images/9/92/SakuraWave.jpg/revision/latest/scale-to-width-down/150?cb=20160527124821
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1257.png,https://i.imgur.com/IxkuoIj.png,https://caotize.se/wp-content/uploads/the-fixer-o-conserta-tudo-os-quarenta-servidores/15-Arte-The-Fixer-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/016.png,https://static.wikia.nocookie.net/ccs/images/0/00/SakuraDash.jpg/revision/latest/scale-to-width-down/150?cb=20160527130319
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1273.png,https://i.imgur.com/KvpgcQF.png,https://caotize.se/wp-content/uploads/the-fortunate-a-afortunada-os-quarenta-servidores/16-Arte-The-Fortunate-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/017.png,https://static.wikia.nocookie.net/ccs/images/8/8a/SakuraWindy.jpg/revision/latest/scale-to-width-down/150?cb=20160527124333
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1289.png,https://i.imgur.com/8uePJgC.png,https://caotize.se/wp-content/uploads/the-gate-keeper-o-porteiro-os-quarenta-servidores/17-Arte-The-Gate-Keeper-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/018.png,https://static.wikia.nocookie.net/ccs/images/9/9f/SakuraLoop.jpg/revision/latest/scale-to-width-down/150?cb=20160527124600
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1305.png,https://i.imgur.com/Ynh13bs.png,https://caotize.se/wp-content/uploads/the-giver-o-doador-os-quarenta-servidores/18-Arte-The-Giver-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/019.png,https://static.wikia.nocookie.net/ccs/images/6/6f/SakuraFlower.jpg/revision/latest/scale-to-width-down/150?cb=20160606171109
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1321.png,https://i.imgur.com/lU1ohqP.png,https://caotize.se/wp-content/uploads/the-guru-o-guru-os-quarenta-servidores/19-Arte-The-Guru-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/020.png,https://static.wikia.nocookie.net/ccs/images/3/30/SakuraBig.jpg/revision/latest/scale-to-width-down/150?cb=20160527123116
